bank,branch,address,phone,latitude,longitude
第一商業銀行,中山分行,臺北市中山區中山北路二段61號、61號2樓,02-25211111,25.056246,121.523056
中國信託商業銀行,北高雄分行,高雄市三民區明誠二路52號,07-3461199,22.660227,120.313543
中國信託商業銀行,市政分行,臺中市西屯區惠中路一段88號及88號3~6樓,04-22545333,24.162517,120.644715
中國信託商業銀行,竹科分行,新竹市東區金山街2號1、2樓,03-5638080,24.778286,121.019382
中國信託商業銀行,青埔分行,桃園市中壢區青埔路二段111號1〜3樓,03-2871608,25.00833,121.215487
中國信託商業銀行,高美分行,高雄市鼓山區明誠四路25號,07-5500850,22.660664,120.29119
中國信託商業銀行,敦北分行,台北市松山區敦化北路122號地下一樓、1、2、3樓,02-27169789,25.054253,121.548427
中國信託商業銀行,鹽行分行,台南市永康區中正北路111號,06-2539199,23.041718,120.240587
台新國際商業銀行,台中分行,台中市西區台灣大道2段416號1樓、2樓、3樓,04-2328-5577,24.15516,120.663778
台新國際商業銀行,苓雅分行,高雄市前鎮區中山二路260號1樓.2樓之1、3樓、5樓之1,07-5375537,22.613322,120.30496
台新國際商業銀行,營業部,台北市中山區中山北路二段四十四號一樓及地下一樓,02-25683988,25.055234,121.522399
玉山商業銀行,內湖分行,臺北市內湖區內湖路一段360巷6、8、10號1、2樓,02-26591313,25.080737,121.570306
玉山商業銀行,文心分行,臺中市北屯區文心路四段281號、281號4~5樓,04-22911313,24.173254,120.67904
玉山商業銀行,台大分行,臺北市大安區羅斯福路四段1號,02-23681313,25.01455,121.537859
玉山商業銀行,高雄分行,高雄市苓雅區四維四路22之2號1~5樓、7~9樓,07-3361313,22.616672,120.301546
兆豐商業銀行,蘭雅分行,台北市士林區中山北路6段126號、126號2樓及126號3樓,02-28385225,25.105698,121.525113
富邦商業銀行,市府分行,台北市信義區市府路1號1樓西南區及地下1樓西南區,02-27298999,25.037504,121.56401
